-1.533411,-1.533411,-1.533411,-1.533411,-1.533411,-1.533411,-1.081353,-1.081353,-1.081353,-1.081353,-1.081353,-1.081353,-1.286100,-1.286100,-1.286100,-1.286100
-1.533411,-1.533411,-1.533411,-1.533411,-1.533411,-1.533411,-1.081353,-1.081353,-1.081353,-1.081353,-1.081353,-1.081353,-1.286100,-1.286100,-1.286100,-1.286100
-1.533411,-1.533411,-1.533411,-1.533411,-1.533411,-1.530910,-1.081353,-1.081353,-1.081353,-1.081353,-1.081353,-1.081286,-1.286100,-1.286100,-1.286100,-1.286100
-1.533411,-1.533411,-1.533411,-1.533411,-1.530910,-1.526086,-1.081353,-1.081353,-1.081353,-1.081353,-1.081286,-1.081034,-1.286100,-1.286100,-1.286100,-1.286100
-1.533411,-1.533411,-1.533411,-1.530910,-1.526086,-1.493570,-1.081353,-1.081353,-1.081353,-1.081286,-1.081034,-1.077413,-1.286100,-1.286100,-1.286100,-1.286100
-1.533411,-1.533411,-1.530910,-1.526086,-1.493570,-1.294725,-1.081353,-1.081353,-1.081286,-1.081034,-1.077413,-1.023883,-1.286100,-1.286100,-1.286100,-1.286100
-1.533411,-1.530910,-1.526086,-1.493570,-1.294725,-0.505774,-1.081353,-1.081286,-1.081034,-1.077413,-1.023883,-0.568379,-1.286100,-1.286100,-1.286100,-1.286100
-1.530910,-1.526086,-1.493570,-1.294725,-0.505774,0.793243,-1.081286,-1.081034,-1.077413,-1.023883,-0.568379,0.665963,-1.286100,-1.286100,-1.286100,-1.286100
-1.526086,-1.493570,-1.294725,-0.505774,0.793243,1.289731,-1.081034,-1.077413,-1.023883,-0.568379,0.665963,1.254063,-1.286100,-1.286100,-1.286100,-1.286100
-1.493570,-1.294725,-0.505774,0.793243,1.289731,1.169852,-1.077413,-1.023883,-0.568379,0.665963,1.254063,1.106910,-1.286100,-1.286100,-1.286100,-1.286099
-1.294725,-0.505774,0.793243,1.289731,1.169852,0.929201,-1.023883,-0.568379,0.665963,1.254063,1.106910,0.821324,-1.286100,-1.286100,-1.286099,-1.286097
-0.505774,0.793243,1.289731,1.169852,0.929201,0.798424,-0.568379,0.665963,1.254063,1.106910,0.821324,0.671802,-1.286100,-1.286099,-1.286097,-1.286089
